timestamp,depth_target,depth_actual,error,pid_output,thrust_x,thrust_y,thrust_z,obstacle,acao
1751566312.219422,1.3,0.667,0.633,0.5095121171349427,0.4,0.0,0.5095121171349427,False,
1751566312.3583,1.3,0.668,0.632,0.5041596162002243,0.4,0.0,0.5041596162002243,False,
1751566312.5772579,1.3,0.667,0.633,0.5073133191431449,0.4,0.0,0.5073133191431449,False,
1751566312.8492024,1.3,1.565,-0.2649999999999999,-0.8745373340791635,0.4,0.0,-0.8745373340791635,False,
1751566313.038695,1.3,1.572,-0.272,-0.22495175805409642,0.4,0.0,-0.22495175805409642,False,
1751566313.2338963,1.3,1.566,-0.266,-0.2066521801265679,0.4,0.0,-0.2066521801265679,False,
1751566313.3871815,1.3,1.567,-0.2669999999999999,-0.21490473655968312,0.4,0.0,-0.21490473655968312,False,
1751566313.598639,1.3,1.567,-0.2669999999999999,-0.21359999999999993,0.4,0.0,-0.21359999999999993,False,
1751566313.870611,1.3,1.56,-0.26,-0.20286191851206298,0.4,0.0,-0.20286191851206298,False,
1751566314.0638497,1.3,1.564,-0.264,-0.21535082925212062,0.4,0.0,-0.21535082925212062,False,
1751566314.2636616,1.3,1.568,-0.268,-0.2185705423350461,0.4,0.0,-0.2185705423350461,False,
1751566314.4081275,1.3,1.577,-0.2769999999999999,-0.23332863716440197,0.4,0.0,-0.23332863716440197,False,
1751566314.6251805,1.3,1.68,-0.3799999999999999,-0.39867488004382956,0.4,0.0,-0.39867488004382956,False,
1751566314.904755,1.3,1.956,-0.6559999999999999,-0.7229845907319778,0.4,0.0,-0.7229845907319778,False,
1751566315.0862288,1.3,2.309,-1.0090000000000001,-1.1973153839262662,0.4,0.0,-1.1973153839262662,False,
1751566315.2953649,1.3,2.335,-1.035,-0.8528360584576631,0.4,0.0,-0.8528360584576631,False,
1751566315.4238622,1.3,0.678,0.622,3.0708545658858615,0.4,0.0,3.0708545658858615,False,
1751566315.6890512,1.3,0.673,0.627,0.5053708625335231,0.4,0.0,0.5053708625335231,False,
1751566315.9735138,1.3,0.659,0.641,0.5250251474266823,0.4,0.0,0.5250251474266823,False,
1751566316.2553754,1.3,0.643,0.657,0.5350877991849489,0.4,0.0,0.5350877991849489,False,
1751566316.4322493,1.3,0.64,0.66,0.531372557806683,0.4,0.0,0.531372557806683,False,
1751566316.6632183,1.3,0.639,0.661,0.5296697490684158,0.4,0.0,0.5296697490684158,False,
1751566316.9044788,1.3,0.648,0.652,0.5141230261861305,0.4,0.0,0.5141230261861305,False,
1751566317.0742602,1.3,0.644,0.656,0.5294977501379039,0.4,0.0,0.5294977501379039,False,
1751566317.2749195,1.3,0.643,0.657,0.5265967168236648,0.4,0.0,0.5265967168236648,False,
1751566317.5636473,1.3,0.641,0.659,0.5285832886177186,0.4,0.0,0.5285832886177186,False,
1751566317.7362375,1.3,0.63,0.67,0.5487791887213151,0.4,0.0,0.5487791887213151,False,
1751566317.9397216,1.3,0.629,0.671,0.5377827570734519,0.4,0.0,0.5377827570734519,False,
1751566318.2048287,1.3,0.629,0.671,0.5368,0.4,0.0,0.5368,False,
1751566318.3290606,1.3,0.631,0.669,0.531982861580648,0.4,0.0,0.531982861580648,False,
1751566318.5525022,1.3,0.632,0.668,0.533504591464775,0.4,0.0,0.533504591464775,False,
1751566318.7217228,1.3,0.667,0.633,0.46460699688119655,0.4,0.0,0.46460699688119655,False,
1751566318.9730537,1.3,0.71,0.5900000000000001,0.43783446577480756,0.4,0.0,0.43783446577480756,False,
1751566319.2098467,1.3,0.831,0.4690000000000001,0.2721493003361514,0.4,0.0,0.2721493003361514,False,
1751566319.3882701,1.3,1.017,0.28300000000000014,0.02278982132510704,0.4,0.0,0.02278982132510704,False,
1751566319.5937624,1.3,1.014,0.28600000000000003,0.23172608167878214,0.4,0.0,0.23172608167878214,False,
1751566320.0273077,1.3,1.359,-0.05899999999999994,-0.20756141733025174,0.4,0.0,-0.20756141733025174,False,
1751566320.2801042,1.3,1.742,-0.44199999999999995,-0.6538968410682624,0.4,0.0,-0.6538968410682624,False,
1751566320.562487,1.3,2.177,-0.877,-1.008633796865416,0.4,0.0,-1.008633796865416,False,
1751566320.7570305,1.3,0.71,0.5900000000000001,1.987929456198378,0.4,0.0,1.987929456198378,False,
1751566320.9433644,1.3,0.725,0.5750000000000001,0.4440299933114104,0.4,0.0,0.4440299933114104,False,
1751566321.0861192,1.3,0.796,0.504,0.3033890055453236,0.4,0.0,0.3033890055453236,False,
1751566321.3272157,1.3,0.831,0.4690000000000001,0.346101669677908,0.4,0.0,0.346101669677908,False,
1751566321.5792818,1.3,0.944,0.3560000000000001,0.19519260689832513,0.4,0.0,0.19519260689832513,False,
1751566321.7492762,1.3,0.898,0.402,0.3759260792683613,0.4,0.0,0.3759260792683613,False,
1751566321.9467118,1.3,0.888,0.41200000000000003,0.33967822190184427,0.4,0.0,0.33967822190184427,False,
1751566322.216032,1.3,0.914,0.386,0.28940259783688504,0.4,0.0,0.28940259783688504,False,
1751566322.353102,1.3,3.329,-2.029,-5.1411231799119586,0.4,0.0,-5.1411231799119586,False,
1751566322.5969348,1.3,3.329,-2.029,-1.6232,0.4,0.0,-1.6232,False,
1751566322.7352302,1.3,3.824,-2.524,-2.714589918727507,0.4,0.0,-2.714589918727507,False,
1751566322.9712029,1.3,1.966,-0.6659999999999999,1.0486393506229963,0.4,0.0,1.0486393506229963,False,
1751566323.2079055,1.3,3.459,-2.159,-2.988827795680673,0.4,0.0,-2.988827795680673,False,
1751566323.4761934,1.3,17.152,-15.852,-22.889554248826045,0.4,0.0,-22.889554248826045,False,
1751566323.6671433,1.3,16.779,-15.479,-11.9925231052372,0.4,0.0,-11.9925231052372,False,
