Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
943,128.08,207,51,269.0,33.0,235.90,67.80
944,128.18,170,29,291.0,70.0,279.62,134.73
945,128.32,163,23,297.0,77.0,245.79,71.16
946,128.44,147,19,301.0,93.0,247.97,103.08
947,128.55,135,16,304.0,105.0,248.45,104.99
948,128.68,133,69,251.0,107.0,118.00,88.72
949,128.81,95,75,245.0,145.0,187.05,172.70
950,128.93,87,73,247.0,153.0,201.11,136.42
951,129.06,75,95,225.0,165.0,147.73,149.60
952,129.18,103,96,224.0,137.0,177.48,61.35
953,129.31,198,75,245.0,42.0,229.34,-117.23
954,129.43,224,41,279.0,16.0,276.90,-28.26
955,129.96,224,41,279.0,16.0,223.20,12.80
1175,159.54,20,441,-121.0,220.0,-99.50,177.38
1176,159.67,69,492,-172.0,171.0,-218.99,58.61
1177,159.79,53,399,-79.0,187.0,86.88,175.42
1180,160.16,11,327,-7.0,229.0,33.23,205.85
1181,160.29,0,362,-42.0,240.0,-90.07,209.75
1182,160.42,6,339,-19.0,234.0,19.86,178.05
1187,161.04,10,297,23.0,230.0,32.03,182.70
1201,162.93,408,611,-291.0,-168.0,-265.88,-176.33
1202,163.05,418,501,-181.0,-178.0,45.44,-159.69
1203,163.17,342,155,165.0,-102.0,698.53,42.84
1204,163.31,334,168,152.0,-94.0,102.57,-63.49
1205,163.40,261,53,267.0,-21.0,455.23,136.58
1206,163.54,301,66,254.0,-61.0,184.04,-107.74
1207,163.66,296,85,235.0,-56.0,156.34,-36.47
1208,163.78,130,525,-205.0,110.0,-898.72,365.19
1209,163.91,86,578,-258.0,154.0,-289.43,192.13
1210,164.01,62,501,-181.0,178.0,1.15,187.89
1211,164.20,88,470,-150.0,152.0,-85.99,93.08
1212,164.34,97,456,-136.0,143.0,-89.76,102.16
1213,164.48,105,349,-29.0,135.0,129.73,96.57
1214,164.68,69,410,-90.0,171.0,-132.84,172.70
1215,164.83,133,389,-69.0,107.0,-27.12,0.01
1216,164.97,117,208,112.0,123.0,351.16,121.52
1217,165.09,96,66,254.0,144.0,446.24,151.14
1218,165.21,433,458,-138.0,-193.0,-761.45,-714.11
1219,165.34,150,49,271.0,90.0,841.67,504.37
1220,165.47,48,572,-252.0,192.0,-1019.28,313.07
1221,165.58,76,592,-272.0,164.0,-254.38,79.71
1222,165.73,67,587,-267.0,173.0,-206.93,150.40
1223,165.84,68,552,-232.0,172.0,-122.71,135.80
1224,165.97,59,524,-204.0,181.0,-120.12,158.65
1225,166.09,45,299,21.0,195.0,390.60,179.26
1226,166.21,239,54,266.0,1.0,627.96,-327.94
